date,uka_price
2025-04-07,41.54
2025-04-08,41.89
2025-04-09,41.25
2025-04-10,43.96
2025-04-11,44.1
2025-04-13,46.14
2025-04-14,46.45
2025-04-15,46.75
2025-04-16,47.47
2025-04-17,47.1
2025-04-22,47.16
2025-04-23,47.0
2025-04-24,47.95
2025-04-25,48.12
2025-04-26,47.67
2025-04-27,47.67
2025-04-28,47.54
2025-04-29,47.41
2025-04-30,47.62
2025-05-01,47.5
2025-05-03,49.96
2025-05-04,49.96
2025-05-06,49.7
2025-05-08,52.23
2025-05-09,52.08
2025-05-10,51.42
2025-05-11,51.42
2025-05-12,52.15
2025-05-13,52.4
2025-05-14,51.31
2025-05-16,48.9
2025-05-17,48.42
2025-05-18,48.42
2025-05-19,52.14
2025-05-20,54.34
2025-05-21,55.3
